state_cd,state_cd_desc
A1   ,"REAL, RESIDENTIAL, SINGLE-FAMILY"
A2   ,"REAL, RESIDENTIAL, MOBILE HOME"
A3   ,"REAL, RESIDENTIAL, AUX IMPROVEMENT"
A4   ,TOWNHOUSE ASSESSED SEPARATELY
A5   ,RES MULTI FAMILY
A51  ,RES MULTI FAMILY - DUPLEX
A52  ,RES MULTI FAMILY - APARTMENT
A53  ,RES MULTI FAMILY - TRIPLEX
A54  ,RES MULTI FAMILY - QUADRUPLEX
A55  ,RES MULTI FAMILY - FIVEPLEX
A56  ,RES MULTI FAMILY - SIXPLEX
A5C  ,RES MULTI FAMILY - COMMERCIAL
A6   ,"LOT, UTILIZED AS MH ON RE"
A7   ,RES VAC LOT W/HD LESS THAN 5AC
A8   ,RES VAC LOT W/HD MORE THAN 5AC
A9   ,MH ONLY ACCOUNT ON RE
B1   ,"REAL, RESIDENTIAL, DUPLEXES"
B2   ,"REAL, COMMERCIAL, APARTMENTS"
B3   ,TRIPLEX-RESIDENTIAL
B4   ,QUADPLEX-RESIDENTIAL
B5   ,FIVEPLEX-RESIDENTIAL
B6   ,SIXPLEX-RESIDENTIAL
B7   ,FIVEPLEX-COMMERCIAL
B8   ,SIXPLEX-COMMERCIAL
B9   ,QUADPLEX-COMMERCIAL
C1   ,"REAL, VACANT PLATTED RESIDENTIAL LOT"
C10  ,"REAL, VACANT PLATTED COMMERCIAL LOT"
C2   ,COLONIA LOTS AND LAND TRACTS
C3   ,"REAL, VACANT PLATTED RURAL OR RECREATIONAL LOT"
C4   ,"COMM,COMMON AREA,(CONDOS ETC.)"
C6   ,"RES,VAC,MUD,ALL,LESS SEWR\"
C7   ,"RES,VAC,PRIV WTR,ALL,LESS SEWR"
C8   ,"RES,VAC,ELEC MAIN RD ONLY"
C9   ,"RES,VAC,NO UTILS,OWNR FINANCED"
D1   ,"REAL, ACREAGE, RANGELAND"
D2   ,"REAL, ACREAGE, TIMBERLAND"
D3   ,"REAL, ACREAGE, FARMLAND"
D4   ,"REAL, ACREAGE, UNDEVELOPED LAND"
D5   ,"AG,OR AG & NON-AG 5AC OR MORE"
D6   ,"AG,OR AG & NON-AG (LESS 5 AC)"
D62  ,"AG,OR AG & NON-AG (LESS 5 AC) (NON-AG)"
D7   ,DESERT ACREAGE (LESS 5 AC)
D8   ,"HORIZON AREA (LESS 15,000 SF)"
D9   ,"DESERT LOT, PAPER PLAT RECORD"
E    ,"RURAL LND, NON- QUALIFIED OP-SPACE APPRL & RES IM"
E1   ,"REAL, FARM/RANCH, HOUSE"
E2   ,"REAL, FARM/RANCH, MOBILE HOME"
E3   ,"REAL, FARM/RANCH, OTHER IMPROVEMENT"
F0   ,DO NOT USE---COMMERCIAL HOSPITALS CLINICS
F1   ,"COMM,ANY COMM OTHR THAN F2-F9"
F2   ,"INDUSTRIAL,(INDUSTRIAL BLDGS)"
F3   ,"DO NOT USE---COMMERCIAL,(OFFICE BLDGS)"
F4   ,"DO NOT USE---COMMERCIAL,(HOTEL/MOTEL)"
F40  ,"COMM,COMMON AREA,(CONDOS ETC.)"
F6   ,"DO NOT USE---COMMERCIAL,(GARAGE & PARKING)"
F7   ,"DO NOT USE---COMMERCIAL,(WAREHOUSES)"
G1   ,DO NOT USE---OIL AND GAS
G2   ,DO NOT USE---OTHER MINERALS
G3   ,"MINERALS, NON-PRODUCING"
H1   ,TANGIBLE PRESONAL NON BUSINESS VEHICLES
H2   ,GOODS IN TRANSIT
J    ,DO NOT USE---J
J1   ,UTILITIES/WATER SYSTEMS
J2   ,UTILITIES/GAS COMPANIES
J3   ,UTILITIES/ELECTRIC COMPANIES
J4   ,UTILITIES/TELEPHONE COMPANIES
J5   ,UTILITIES/RAILROADS
J6   ,UTILITIES/PIPELINES
J7   ,"UTILS,OTHR,P/P ONLY,CABLE"
J8   ,"UTILS,OTHR,P/P ONLY,RADIO & TV"
J9   ,UTILITY EASEMENTS
L1   ,PERSONAL PROPERTY BUSINESS
L2   ,PERSONAL PROPERTY INDUSTRIAL
M3   ,"TANGIBLE P/P OTHR, MOBILE HOME"
M5   ,"MH,LEASED LAND,NOT IN MH PARK"
O1   ,"INVENTORY, VACANT RES LAND"
O2   ,"INVENTORY, IMPROVED RES"
S    ,SPECIAL INVENTORY
X    ,TOTALLY EXEMPT PROPERTY
X21  ,"REAL, FARM/RANCH, HOUSE"
X22  ,"REAL, FARM/RANCH, MOBILE HOME"
X23  ,"REAL, FARM/RANCH, OTHER IMPS"
XV-C ,"COMMERCIAL public, religous, charitable, misc"
XV-R ,"RESIDENTIAL, public, religous, charitable, misc"
Y7   ,PENDING STATE CODE
Y8   ,ASSESS IN 20xx (NEXT YEAR)
Y9   ,DO NOT USE
Z1   ,DO NOT USE - R&D TEST PROPERTY TABLE ST CD AW
Z7   ,DO NOT USE
